image_id,x_min,y_min,x_max,y_max,class_id,image_width,image_height
107,0,0,1,1,14,320,320
1070,147,123,189,165,4,320,320
1070,120,228,141,291,1,320,320
1071,36,125,69,165,9,320,320
1071,286,136,300,154,4,320,320
1071,154,159,186,194,6,320,320
1071,71,29,131,85,2,320,320
1071,79,125,132,190,3,320,320
1071,254,246,284,283,1,320,320
1071,67,204,114,262,9,320,320
1071,32,273,53,300,2,320,320
1071,185,220,216,271,9,320,320
1072,139,249,155,269,6,320,320
1072,234,26,267,80,1,320,320
1072,223,67,276,129,6,320,320
1072,172,16,182,29,6,320,320
1072,50,41,112,103,0,320,320
1073,183,129,240,195,7,320,320
1073,118,259,134,286,9,320,320
1073,148,60,221,133,8,320,320
1073,79,48,135,83,5,320,320
1074,0,0,1,1,14,320,320
1075,12,158,39,185,7,320,320
1075,200,225,244,265,8,320,320
1075,130,10,142,22,2,320,320
1075,126,26,147,75,1,320,320
1076,261,118,289,146,5,320,320
1077,0,0,1,1,14,320,320
1078,0,0,1,1,14,320,320
1079,233,5,245,19,3,320,320
1079,238,31,269,78,5,320,320
1079,6,140,12,151,1,320,320
1079,54,208,58,216,1,320,320
1079,60,229,117,280,7,320,320
1079,127,195,181,234,5,320,320
108,259,17,298,55,9,320,320
108,42,221,65,259,1,320,320
108,76,88,129,147,3,320,320
108,62,130,102,179,9,320,320
1080,0,0,1,1,14,320,320
1081,0,0,1,1,14,320,320
1082,57,208,63,215,0,320,320
1082,148,160,187,199,4,320,320
1082,110,106,132,129,0,320,320
1082,94,72,124,121,7,320,320
1082,169,262,196,290,0,320,320
1083,0,0,1,1,14,320,320
1084,75,49,105,83,8,320,320
1084,154,154,227,226,8,320,320
1085,0,0,1,1,14,320,320
1086,61,230,88,271,8,320,320
1086,28,209,46,265,1,320,320
1086,126,272,150,303,2,320,320
1086,190,53,233,117,4,320,320
1087,0,0,1,1,14,320,320
1088,203,125,254,177,8,320,320
1088,70,207,112,245,5,320,320
1089,123,89,134,102,0,320,320
1089,193,99,231,147,0,320,320
1089,237,229,286,302,1,320,320
1089,208,84,264,153,0,320,320
1089,259,29,280,70,5,320,320
109,271,162,281,174,4,320,320
109,39,218,86,276,4,320,320
109,200,132,225,163,7,320,320
109,172,163,197,194,9,320,320
109,155,58,211,120,0,320,320
109,203,43,210,55,1,320,320
109,146,271,173,310,1,320,320
1090,0,0,1,1,14,320,320
1091,0,0,1,1,14,320,320
1092,0,0,1,1,14,320,320
1093,158,143,217,216,0,320,320
1093,212,122,268,184,2,320,320
1093,223,82,292,125,5,320,320
1093,74,86,94,98,7,320,320
1093,216,263,254,301,5,320,320
1093,71,266,94,303,9,320,320
1093,279,83,297,113,1,320,320
1093,41,209,79,259,2,320,320
1094,121,8,166,58,3,320,320
1094,67,136,118,190,2,320,320
1094,221,160,274,234,3,320,320
1095,85,184,120,233,9,320,320
1095,79,248,115,292,9,320,320
1095,15,43,69,97,4,320,320
1096,0,0,1,1,14,320,320
1097,0,0,1,1,14,320,320
1098,82,287,94,299,7,320,320
1098,211,165,236,192,8,320,320
1098,271,209,305,256,8,320,320
1098,216,12,254,62,5,320,320
1098,135,71,191,133,0,320,320
1098,72,126,110,168,7,320,320
1098,92,11,120,38,7,320,320
1098,27,191,36,200,2,320,320
1099,0,0,1,1,14,320,320
11,0,0,1,1,14,320,320
110,82,87,95,101,9,320,320
110,145,70,173,136,0,320,320
110,53,53,60,62,7,320,320
110,260,41,303,93,3,320,320
110,219,209,253,257,7,320,320
110,267,129,292,152,0,320,320
110,242,132,248,140,3,320,320
110,134,260,150,279,2,320,320
110,143,235,171,268,7,320,320
1100,0,0,1,1,14,320,320
1101,0,0,1,1,14,320,320
1102,0,0,1,1,14,320,320
1103,197,179,258,222,2,320,320
1103,107,205,137,244,7,320,320
1103,116,193,188,265,2,320,320
1103,116,98,137,115,5,320,320
1103,245,37,253,52,8,320,320
1103,49,161,97,229,4,320,320
1103,144,78,210,145,5,320,320
1103,181,120,212,171,8,320,320
1104,19,82,37,99,9,320,320
1104,184,97,219,146,6,320,320
1104,149,198,198,238,5,320,320
1104,174,242,182,251,7,320,320
1104,184,161,222,223,1,320,320
1104,147,91,203,160,8,320,320
1104,231,150,282,213,3,320,320
1104,202,27,246,98,7,320,320
1105,91,238,140,306,7,320,320
1105,94,227,109,252,6,320,320
1106,0,0,1,1,14,320,320
1107,0,0,1,1,14,320,320
1108,68,160,105,221,6,320,320
1108,282,75,298,95,6,320,320
1108,153,220,164,239,9,320,320
1108,125,112,167,170,0,320,320
1108,106,158,156,220,7,320,320
1108,248,241,291,298,2,320,320
1109,34,212,83,272,7,320,320
1109,96,106,106,118,8,320,320
1109,130,97,155,126,9,320,320
1109,228,128,256,155,6,320,320
1109,211,129,243,202,1,320,320
1109,23,117,63,157,5,320,320
1109,97,88,138,139,0,320,320
1109,205,13,243,57,5,320,320
1109,174,192,242,247,4,320,320
111,117,256,127,279,1,320,320
111,171,48,202,92,8,320,320
111,232,155,248,173,8,320,320
1110,59,16,95,60,0,320,320
1110,153,228,219,302,5,320,320
1110,276,143,298,174,7,320,320
1110,174,159,182,175,8,320,320
1110,205,135,211,142,4,320,320
1110,30,6,47,39,1,320,320
1110,268,180,276,188,2,320,320
1110,230,76,274,138,2,320,320
1111,0,0,1,1,14,320,320
1112,0,0,1,1,14,320,320
1113,183,207,197,227,4,320,320
1113,221,44,260,93,4,320,320
1113,146,45,173,77,6,320,320
1113,60,38,97,90,1,320,320
1114,0,0,1,1,14,320,320
1115,0,0,1,1,14,320,320
1116,0,0,1,1,14,320,320
1117,294,284,314,306,8,320,320
1117,213,219,250,278,8,320,320
1117,122,113,153,163,8,320,320
1117,68,41,123,96,8,320,320
1117,209,156,253,210,3,320,320
1118,0,0,1,1,14,320,320
1119,0,0,1,1,14,320,320
112,0,0,1,1,14,320,320
1120,50,90,72,120,1,320,320
1120,123,219,166,290,6,320,320
1120,30,188,54,215,6,320,320
1120,57,137,109,196,6,320,320
1120,207,45,272,117,5,320,320
1120,225,194,235,205,8,320,320
1120,12,69,26,80,0,320,320
1120,271,24,294,48,2,320,320
1121,0,0,1,1,14,320,320
1122,151,74,200,123,3,320,320
1122,106,23,147,74,4,320,320
1122,262,149,312,195,5,320,320
1122,208,84,219,94,2,320,320
1122,9,187,38,218,7,320,320
1123,166,44,177,59,3,320,320
1124,227,286,239,303,3,320,320
1124,219,185,273,240,8,320,320
1124,114,114,151,169,0,320,320
1124,130,90,167,131,4,320,320
1124,245,98,280,148,1,320,320
1124,291,112,300,121,4,320,320
1124,92,212,143,263,0,320,320
1124,60,220,90,252,0,320,320
1124,86,84,140,147,3,320,320
1125,0,0,1,1,14,320,320
1126,0,0,1,1,14,320,320
1127,29,85,45,133,1,320,320
1127,47,214,105,286,6,320,320
1127,34,227,53,246,8,320,320
1127,260,90,291,133,2,320,320
1127,169,97,227,168,7,320,320
1127,9,49,14,58,1,320,320
1128,183,98,216,161,9,320,320
1128,87,203,122,253,4,320,320
1128,27,170,66,209,8,320,320
1128,84,170,139,225,0,320,320
1129,105,144,113,149,5,320,320
1129,97,32,147,82,2,320,320
113,142,241,185,302,3,320,320
113,295,44,306,65,1,320,320
1130,0,0,1,1,14,320,320
1131,211,124,283,189,5,320,320
1131,188,70,209,104,9,320,320
1131,246,99,251,108,1,320,320
1131,3,141,13,152,4,320,320
1131,25,97,37,115,3,320,320
1131,59,81,66,91,6,320,320
1131,32,76,52,94,2,320,320
1132,0,0,1,1,14,320,320
1133,0,0,1,1,14,320,320
1134,244,40,269,65,7,320,320
1134,197,118,208,165,1,320,320
1134,26,236,56,275,4,320,320
1134,249,213,278,249,7,320,320
1134,156,98,195,152,8,320,320
1134,115,237,171,299,5,320,320
1134,72,235,120,292,7,320,320
1134,42,78,75,125,5,320,320
1134,185,214,230,277,9,320,320
1135,0,0,1,1,14,320,320
1136,0,0,1,1,14,320,320
1137,142,212,203,277,7,320,320
1137,77,83,107,113,6,320,320
1137,176,240,188,256,8,320,320
1138,0,0,1,1,14,320,320
1139,0,0,1,1,14,320,320
114,213,5,232,32,4,320,320
1140,0,0,1,1,14,320,320
1141,180,257,192,269,0,320,320
1141,116,115,118,122,1,320,320
1141,229,278,262,305,5,320,320
1142,0,0,1,1,14,320,320
1143,27,86,39,96,3,320,320
1143,149,39,152,47,1,320,320
1143,106,158,124,179,0,320,320
1143,248,272,256,281,7,320,320
1143,72,19,116,75,0,320,320
1143,163,33,217,88,7,320,320
1144,0,0,1,1,14,320,320
1145,191,93,209,114,4,320,320
1145,98,216,129,259,4,320,320
1145,203,183,220,215,8,320,320
1145,217,157,240,185,9,320,320
1145,111,135,146,178,9,320,320
1146,44,127,80,167,8,320,320
1146,65,200,97,238,0,320,320
1146,218,23,257,74,7,320,320
1147,0,0,1,1,14,320,320
1148,0,0,1,1,14,320,320
1149,285,2,293,11,6,320,320
1149,201,259,222,284,4,320,320
1149,166,112,173,122,6,320,320
1149,134,199,182,252,4,320,320
1149,270,178,306,223,0,320,320
115,60,196,91,227,6,320,320
115,19,65,76,128,8,320,320
1150,135,52,165,94,4,320,320
1150,84,89,98,103,3,320,320
1150,132,182,151,211,6,320,320
1150,147,183,160,196,2,320,320
1150,107,24,145,77,4,320,320
1151,287,40,308,69,6,320,320
1151,131,91,179,139,2,320,320
1151,144,39,185,101,2,320,320
1151,65,165,96,236,1,320,320
1151,25,204,88,267,8,320,320
1151,171,32,184,57,9,320,320
1151,208,42,279,113,2,320,320
1152,27,120,75,188,3,320,320
1152,150,22,168,42,0,320,320
1153,49,71,100,122,7,320,320
1153,207,149,220,161,2,320,320
1153,198,140,219,161,4,320,320
1153,152,81,168,95,0,320,320
1153,157,19,192,54,4,320,320
1154,0,0,1,1,14,320,320
1155,236,250,247,261,2,320,320
1155,170,190,214,234,2,320,320
1155,230,110,243,129,6,320,320
1155,243,55,282,110,2,320,320
1155,185,125,237,186,0,320,320
1156,0,0,1,1,14,320,320
1157,195,265,228,298,5,320,320
1157,65,52,91,79,7,320,320
1157,202,58,259,128,2,320,320
1157,286,209,312,235,0,320,320
1157,257,290,269,306,0,320,320
1157,48,90,88,154,1,320,320
1157,183,42,189,62,1,320,320
1157,197,130,250,182,5,320,320
1157,206,227,231,285,1,320,320
1158,0,0,1,1,14,320,320
1159,235,96,258,130,5,320,320
1159,45,130,104,180,5,320,320
1159,99,127,119,143,0,320,320
1159,220,117,273,170,2,320,320
1159,258,73,282,97,2,320,320
116,28,158,80,222,5,320,320
116,21,211,70,251,3,320,320
116,256,249,305,299,0,320,320
116,115,100,152,151,7,320,320
116,269,122,289,146,8,320,320
116,205,247,215,261,9,320,320
116,227,240,262,278,8,320,320
1160,186,19,194,28,7,320,320
1160,75,10,90,45,1,320,320
1160,42,127,47,143,1,320,320
1160,143,175,152,190,1,320,320
1161,0,0,1,1,14,320,320
1162,0,0,1,1,14,320,320
1163,150,132,177,195,1,320,320
1163,59,46,72,63,8,320,320
1163,147,227,213,293,8,320,320
1164,0,0,1,1,14,320,320
1165,203,267,232,296,5,320,320
1166,0,0,1,1,14,320,320
1167,0,0,1,1,14,320,320
1168,0,0,1,1,14,320,320
1169,0,0,1,1,14,320,320
117,0,0,1,1,14,320,320
1170,0,0,1,1,14,320,320
1171,0,0,1,1,14,320,320
1172,95,71,129,116,5,320,320
1172,46,57,65,80,2,320,320
1172,150,98,177,142,8,320,320
1172,93,237,137,281,5,320,320
1172,137,72,163,99,3,320,320
1172,182,198,200,228,7,320,320
1172,140,225,161,297,1,320,320
1172,59,26,72,37,0,320,320
1173,0,0,1,1,14,320,320
1174,0,0,1,1,14,320,320
1175,0,0,1,1,14,320,320
1176,220,140,254,204,1,320,320
1176,63,136,103,200,9,320,320
1176,118,101,144,126,3,320,320
1176,60,144,75,160,5,320,320
1176,290,6,314,30,2,320,320
1176,58,62,68,88,1,320,320
1176,125,67,135,87,9,320,320
1176,223,224,254,253,4,320,320
1177,58,213,102,263,7,320,320
1178,107,8,152,57,2,320,320
1178,222,209,246,239,3,320,320
1179,0,0,1,1,14,320,320
118,0,0,1,1,14,320,320
1180,0,0,1,1,14,320,320
1181,0,0,1,1,14,320,320
1182,142,73,189,139,8,320,320
1182,282,26,291,35,4,320,320
1182,212,173,219,183,9,320,320
1182,239,101,306,169,5,320,320
1182,180,116,236,185,2,320,320
1182,111,241,151,283,0,320,320
1182,245,192,276,226,9,320,320
1182,58,92,94,139,6,320,320
1182,78,112,138,172,0,320,320
1183,0,0,1,1,14,320,320
1184,140,82,161,103,4,320,320
1184,119,171,170,217,5,320,320
1185,0,0,1,1,14,320,320
1186,222,163,274,215,6,320,320
1186,102,14,142,75,1,320,320
1186,59,13,71,30,8,320,320
1186,79,236,124,308,3,320,320
1187,0,0,1,1,14,320,320
1188,108,59,145,89,0,320,320
1188,246,71,271,96,5,320,320
1188,10,247,29,274,2,320,320
1188,227,179,237,190,4,320,320
1188,100,93,114,118,9,320,320
1188,132,229,201,297,0,320,320
1189,0,0,1,1,14,320,320
119,0,0,1,1,14,320,320
1190,249,81,257,94,2,320,320
1191,15,234,23,244,3,320,320
1191,163,176,195,208,7,320,320
1191,217,104,243,154,3,320,320
1191,50,103,65,138,1,320,320
1191,84,94,91,104,8,320,320
1191,170,262,183,303,1,320,320
1191,141,61,187,107,4,320,320
1191,166,126,220,192,0,320,320
1191,289,208,307,234,9,320,320
1192,0,0,1,1,14,320,320
1193,0,0,1,1,14,320,320
1194,0,0,1,1,14,320,320
1195,0,0,1,1,14,320,320
1196,222,261,260,291,2,320,320
1196,224,204,234,217,6,320,320
1197,0,0,1,1,14,320,320
1198,0,0,1,1,14,320,320
1199,0,0,1,1,14,320,320
12,0,0,1,1,14,320,320
120,0,0,1,1,14,320,320
1200,205,276,218,293,2,320,320
1201,0,0,1,1,14,320,320
1202,152,206,192,250,6,320,320
1202,238,215,285,273,8,320,320
1203,49,252,60,270,1,320,320
1203,6,243,15,252,4,320,320
1203,208,240,269,289,5,320,320
1203,171,89,178,96,6,320,320
1203,256,245,280,269,2,320,320
1204,43,180,86,237,3,320,320
1204,117,59,152,108,3,320,320
1204,25,237,63,299,4,320,320
1204,254,40,281,70,4,320,320
1205,176,214,197,243,4,320,320
1205,21,155,32,174,6,320,320
1206,0,0,1,1,14,320,320
1207,0,0,1,1,14,320,320
1208,0,0,1,1,14,320,320
1209,0,0,1,1,14,320,320
121,0,0,1,1,14,320,320
1210,129,221,177,268,4,320,320
1210,10,245,20,255,3,320,320
1210,158,122,170,140,4,320,320
1210,119,28,125,35,9,320,320
1210,260,263,275,285,7,320,320
1210,232,141,297,212,6,320,320
1210,152,241,210,309,9,320,320
1211,235,151,268,201,3,320,320
1211,113,200,149,263,9,320,320
1211,19,197,74,255,2,320,320
1211,266,176,283,197,3,320,320
1211,221,231,229,240,1,320,320
1211,273,162,287,195,9,320,320
1211,26,104,87,175,9,320,320
1212,0,0,1,1,14,320,320
1213,0,0,1,1,14,320,320
1214,0,0,1,1,14,320,320
1215,237,76,260,114,5,320,320
1215,194,77,262,145,4,320,320
1215,83,223,128,295,8,320,320
1215,166,115,218,179,4,320,320
1215,202,206,231,274,1,320,320
1215,19,162,84,235,2,320,320
1215,230,262,237,271,1,320,320
1215,212,204,265,278,7,320,320
1216,0,0,1,1,14,320,320
1217,0,0,1,1,14,320,320
1218,102,124,118,154,6,320,320
1218,30,204,60,234,4,320,320
1218,226,175,266,219,1,320,320
1218,134,225,139,232,4,320,320
1218,16,216,40,246,6,320,320
1218,62,220,126,290,9,320,320
1219,235,175,274,224,6,320,320
1219,137,39,159,75,7,320,320
1219,199,11,209,29,8,320,320
1219,120,170,152,239,1,320,320
1219,48,128,105,199,3,320,320
1219,83,114,112,155,6,320,320
122,0,0,1,1,14,320,320
1220,99,246,145,297,0,320,320
1220,64,258,108,309,8,320,320
1220,137,147,182,219,0,320,320
1220,167,134,194,164,4,320,320
1220,224,110,252,185,1,320,320
1220,47,220,58,239,7,320,320
1220,32,200,48,213,0,320,320
1220,68,295,79,309,3,320,320
1221,0,0,1,1,14,320,320
1222,97,243,126,278,2,320,320
1222,176,280,183,287,4,320,320
1222,85,297,91,306,9,320,320
1223,0,0,1,1,14,320,320
1224,256,267,278,302,6,320,320
1224,186,199,196,215,8,320,320
1224,119,267,125,276,7,320,320
1224,137,58,153,108,1,320,320
1225,283,20,289,27,0,320,320
1225,279,270,296,306,1,320,320
1226,16,263,26,276,1,320,320
1226,107,206,130,241,8,320,320
1226,120,178,176,235,8,320,320
1227,0,0,1,1,14,320,320
1228,159,115,173,141,1,320,320
1228,80,112,152,164,2,320,320
1228,128,46,181,120,9,320,320
1228,98,147,108,162,3,320,320
1228,240,187,250,215,1,320,320
1228,292,236,307,252,2,320,320
1228,238,189,275,248,4,320,320
1228,24,103,55,147,8,320,320
1228,169,88,209,138,4,320,320
1229,0,0,1,1,14,320,320
123,0,0,1,1,14,320,320
1230,81,240,90,267,1,320,320
1230,166,25,198,65,7,320,320
1230,248,226,278,254,0,320,320
1230,207,180,265,252,9,320,320
1230,78,102,90,142,1,320,320
1230,38,253,66,287,4,320,320
1231,0,0,1,1,14,320,320
1232,0,0,1,1,14,320,320
1233,0,0,1,1,14,320,320
1234,210,159,276,228,5,320,320
1235,119,148,138,171,4,320,320
1235,79,127,104,161,7,320,320
1235,186,182,239,240,3,320,320
1235,194,191,202,204,9,320,320
1236,0,0,1,1,14,320,320
1237,107,241,173,307,0,320,320
1237,196,155,240,217,7,320,320
1237,196,136,225,168,2,320,320
1237,105,24,138,59,7,320,320
1237,89,222,134,283,7,320,320
1237,26,262,44,280,2,320,320
1237,116,70,159,139,3,320,320
1238,27,164,99,235,0,320,320
1238,158,69,172,115,1,320,320
1238,110,65,127,81,3,320,320
1238,27,91,52,116,6,320,320
1238,51,218,118,285,1,320,320
1238,126,189,143,204,5,320,320
1238,201,133,236,182,4,320,320
1238,257,133,292,200,1,320,320
1239,73,123,107,171,8,320,320
1239,210,107,261,170,1,320,320
1239,144,127,167,163,7,320,320
1239,191,113,210,170,1,320,320
1239,79,231,138,296,6,320,320
1239,34,54,57,108,1,320,320
124,0,0,1,1,14,320,320
1240,124,51,140,65,5,320,320
1240,9,73,11,81,1,320,320
1240,170,264,196,313,1,320,320
1241,0,0,1,1,14,320,320
1242,0,0,1,1,14,320,320
1243,0,0,1,1,14,320,320
1244,0,0,1,1,14,320,320
1245,28,60,42,81,1,320,320
1246,0,0,1,1,14,320,320
1247,57,240,111,311,4,320,320
1248,157,239,184,278,3,320,320
1248,167,51,205,95,7,320,320
1249,83,104,96,122,3,320,320
1249,260,92,281,113,0,320,320
1249,263,136,299,172,0,320,320
1249,203,64,217,82,4,320,320
1249,192,171,204,197,1,320,320
1249,32,139,42,152,6,320,320
1249,103,283,110,294,2,320,320
125,0,0,1,1,14,320,320
1250,0,0,1,1,14,320,320
1251,122,155,130,163,5,320,320
1251,219,37,240,63,2,320,320
1251,186,226,198,243,3,320,320
1251,194,33,251,103,7,320,320
1251,38,228,57,255,8,320,320
1251,131,50,174,111,9,320,320
1251,209,201,264,273,8,320,320
1252,0,0,1,1,14,320,320
1253,0,0,1,1,14,320,320
1254,221,38,249,71,3,320,320
1254,85,100,98,115,6,320,320
1254,172,244,196,291,3,320,320
1254,101,228,110,237,7,320,320
1254,132,104,170,150,4,320,320
1254,116,256,137,277,3,320,320
1254,251,74,269,109,1,320,320
1254,273,121,289,152,1,320,320
1255,204,48,231,75,9,320,320
1255,20,159,36,175,0,320,320
1255,206,175,232,236,1,320,320
1255,157,175,229,247,2,320,320
1255,154,80,184,117,9,320,320
1255,201,62,254,127,2,320,320
1256,195,74,247,138,8,320,320
1256,223,251,235,262,8,320,320
1256,110,78,183,152,3,320,320
1256,104,33,120,54,5,320,320
1256,249,152,282,199,9,320,320
1256,205,250,255,306,2,320,320
1256,105,43,149,105,4,320,320
1256,245,55,282,106,9,320,320
1256,95,16,135,61,3,320,320
1257,0,0,1,1,14,320,320
1258,0,0,1,1,14,320,320
1259,0,0,1,1,14,320,320
126,0,0,1,1,14,320,320
1260,0,0,1,1,14,320,320
1261,30,126,82,193,7,320,320
1261,200,166,242,225,9,320,320
1261,194,13,216,39,0,320,320
1261,53,241,99,299,6,320,320
1261,19,23,84,95,7,320,320
1261,154,11,172,44,7,320,320
1261,201,297,221,317,4,320,320
1261,175,258,198,281,2,320,320
1262,242,213,274,275,1,320,320
1262,119,214,191,259,2,320,320
1262,49,151,78,196,6,320,320
1262,46,204,96,259,2,320,320
1262,19,75,25,82,4,320,320
1262,304,228,312,235,4,320,320
1262,64,246,81,297,1,320,320
1262,244,125,261,142,0,320,320
1262,148,48,188,88,5,320,320
1263,0,0,1,1,14,320,320
1264,0,0,1,1,14,320,320
1265,0,0,1,1,14,320,320
1266,0,0,1,1,14,320,320
1267,158,222,211,281,2,320,320
1267,152,42,178,71,0,320,320
1267,51,229,59,238,6,320,320
1267,17,102,56,137,0,320,320
1267,22,150,42,183,6,320,320
1267,251,218,264,249,1,320,320
1268,45,47,93,103,4,320,320
1268,244,161,303,209,4,320,320
1268,125,131,173,187,8,320,320
1268,22,16,58,60,5,320,320
1268,205,176,267,232,0,320,320
1268,154,109,183,139,4,320,320
1268,132,60,150,80,0,320,320
1268,112,263,126,277,5,320,320
1268,244,165,256,181,4,320,320
1269,0,0,1,1,14,320,320
127,60,36,105,104,6,320,320
127,248,70,301,135,7,320,320
127,204,92,230,142,1,320,320
127,233,277,243,299,1,320,320
127,17,52,41,76,8,320,320
127,143,132,188,205,0,320,320
127,156,260,187,309,9,320,320
127,28,142,37,163,1,320,320
1270,0,0,1,1,14,320,320
1271,0,0,1,1,14,320,320
1272,0,0,1,1,14,320,320
1273,53,131,80,169,9,320,320
1273,84,201,118,235,2,320,320
1273,120,181,151,228,4,320,320
1273,48,16,63,43,1,320,320
1274,34,126,53,152,0,320,320
1274,176,247,201,287,0,320,320
1274,207,247,236,276,5,320,320
1274,131,266,164,299,7,320,320
1274,82,58,92,69,2,320,320
